intersection_id,name_fa,gis_id,registry_source,diagram_file,diagram_relative_path,detector_boxes,south_boxes,west_boxes,north_boxes,east_boxes,has_raw_data,has_diagram,has_registry_name
1036,ميدان بزرگمهر,1067,لیست+scats+ها.xlsx,1036.png,راهنماي شماره تقاطع ها\Graphic\1036.png,12.0,3.0,3.0,3.0,3.0,True,True,True
1037,,,,1037.png,راهنماي شماره تقاطع ها\Graphic\1037.png,12.0,3.0,3.0,3.0,3.0,True,True,False
1038,,,,1038.png,راهنماي شماره تقاطع ها\Graphic\1038.png,14.0,3.0,4.0,3.0,4.0,True,True,False
1039,جي پروين,1188,لیست+scats+ها.xlsx,1039.png,راهنماي شماره تقاطع ها\Graphic\1039.png,13.0,4.0,3.0,3.0,3.0,True,True,True
1040,,,,1040.png,راهنماي شماره تقاطع ها\Graphic\1040.png,11.0,3.0,3.0,3.0,2.0,True,True,False
1041,پروين دشتستان,1203,لیست+scats+ها.xlsx,1041.png,راهنماي شماره تقاطع ها\Graphic\1041.png,10.0,3.0,2.0,3.0,2.0,True,True,True
1042,كمال ابن سينا,1048,لیست+scats+ها.xlsx,1042.png,راهنماي شماره تقاطع ها\Graphic\1042.png,8.0,2.0,2.0,2.0,2.0,True,True,True
1043,,,,1043.png,راهنماي شماره تقاطع ها\Graphic\1043.png,14.0,1.0,3.0,2.0,8.0,True,True,False
1044,ميدان قدس,1140,لیست+scats+ها.xlsx,1044.png,راهنماي شماره تقاطع ها\Graphic\1044.png,12.0,3.0,2.0,4.0,3.0,True,True,True
1045,,,,,,,,,,,True,False,False
1047,شمال فردوسي,1047,لیست+scats+ها.xlsx,1047.png,راهنماي شماره تقاطع ها\Graphic\1047.png,8.0,2.0,2.0,2.0,2.0,True,True,True
1048,باغ گلدسته كمال اسماعيل,1458,لیست+scats+ها.xlsx,1048.png,راهنماي شماره تقاطع ها\Graphic\1048.png,6.0,0.0,2.0,2.0,2.0,True,True,True
1051,چهار راه نقاشي,1055,لیست+scats+ها.xlsx,1051.png,راهنماي شماره تقاطع ها\Graphic\1051.png,5.0,2.0,0.0,2.0,1.0,True,True,True
1053,هشت بهشت نشاط,1053,لیست+scats+ها.xlsx,1053.png,راهنماي شماره تقاطع ها\Graphic\1053.png,9.0,2.0,2.0,2.0,3.0,True,True,True
1054,هشت بهشت گلزار,1051,لیست+scats+ها.xlsx,1054.png,راهنماي شماره تقاطع ها\Graphic\1054.png,8.0,1.0,3.0,2.0,2.0,True,True,True
1057,صغير وليعصر,1050,لیست+scats+ها.xlsx,1057.png,راهنماي شماره تقاطع ها\Graphic\1057.png,10.0,2.0,3.0,2.0,3.0,True,True,True
1058,پل سرهنگ,1192,لیست+scats+ها.xlsx,,,,,,,,True,False,True
1059,پل تمدن,,لیست+scats+ها.xlsx,1059.png,راهنماي شماره تقاطع ها\Graphic\1059.png,10.0,0.0,5.0,0.0,5.0,True,True,True
1064,صياد شيرازي علامه اميني,1064,لیست+scats+ها.xlsx,1064.png,راهنماي شماره تقاطع ها\Graphic\1064.png,8.0,2.0,2.0,2.0,2.0,True,True,True
1065,,,,1065.png,راهنماي شماره تقاطع ها\Graphic\1065.png,11.0,2.0,4.0,2.0,3.0,True,True,False
1066,حمزه هشت بهشت,,لیست+scats+ها.xlsx,1066.png,راهنماي شماره تقاطع ها\Graphic\1066.png,12.0,2.0,4.0,2.0,4.0,True,True,True
1067,,,,1067.png,راهنماي شماره تقاطع ها\Graphic\1067.png,10.0,2.0,4.0,1.0,3.0,True,True,False
1068,جي صيادشيرازي,1213,لیست+scats+ها.xlsx,1068.png,راهنماي شماره تقاطع ها\Graphic\1068.png,8.0,0.0,3.0,2.0,3.0,True,True,True
1069,ميدان احمد آباد,1215,لیست+scats+ها.xlsx,1069.png,راهنماي شماره تقاطع ها\Graphic\1069.png,12.0,3.0,3.0,3.0,3.0,True,True,True
1070,,,,1070.png,راهنماي شماره تقاطع ها\Graphic\1070.png,10.0,3.0,2.0,3.0,2.0,True,True,False
1071,میدان 25 آبان,1287,لیست+scats+ها.xlsx,1071.png,راهنماي شماره تقاطع ها\Graphic\1071.png,16.0,4.0,4.0,4.0,4.0,True,True,True
1072,,,,1072.png,راهنماي شماره تقاطع ها\Graphic\1072.png,14.0,5.0,3.0,4.0,2.0,True,True,False
1074,,,,1074.png,راهنماي شماره تقاطع ها\Graphic\1074.png,8.0,0.0,3.0,3.0,2.0,True,True,False
1075,حكيم عبدالرزاق,1045,لیست+scats+ها.xlsx,1075.png,راهنماي شماره تقاطع ها\Graphic\1075.png,10.0,2.0,2.0,0.0,6.0,True,True,True
1077,5 رمضان مسجد سيد,1018,لیست+scats+ها.xlsx,1077.png,راهنماي شماره تقاطع ها\Graphic\1077.png,8.0,2.0,2.0,2.0,2.0,True,True,True
1078,چهارراه وفايي,1017,لیست+scats+ها.xlsx,1078.png,راهنماي شماره تقاطع ها\Graphic\1078.png,7.0,3.0,2.0,0.0,2.0,True,True,True
1079,طيب - مسجد سيد,1022,لیست+scats+ها.xlsx,1079.png,راهنماي شماره تقاطع ها\Graphic\1079.png,7.0,2.0,2.0,0.0,3.0,True,True,True
1080,توحيد دانشگاه,1089,لیست+scats+ها.xlsx,1080.png,راهنماي شماره تقاطع ها\Graphic\1080.png,11.0,0.0,4.0,3.0,4.0,True,True,True
1081,سه راه حكيم نظامي (شهداي غزه),1078,لیست+scats+ها.xlsx,1081.png,راهنماي شماره تقاطع ها\Graphic\1081.png,12.0,3.0,3.0,3.0,3.0,True,True,True
1082,توحيد شريعتي,1082,لیست+scats+ها.xlsx,1082.png,راهنماي شماره تقاطع ها\Graphic\1082.png,10.0,3.0,2.0,3.0,2.0,True,True,True
1083,چهارراه امين (حكيم نظامي-شريعتي),1083,لیست+scats+ها.xlsx,1083.png,راهنماي شماره تقاطع ها\Graphic\1083.png,10.0,3.0,2.0,3.0,2.0,True,True,True
1084,ميدان ارتش,1084,لیست+scats+ها.xlsx,1084.png,راهنماي شماره تقاطع ها\Graphic\1084.png,14.0,2.0,4.0,3.0,5.0,True,True,True
1085,سه راه سيمين,1095,لیست+scats+ها.xlsx,1085.png,راهنماي شماره تقاطع ها\Graphic\1085.png,13.0,3.0,4.0,2.0,4.0,True,True,True
1086,وحيد رودكي,1087,لیست+scats+ها.xlsx,1086.png,راهنماي شماره تقاطع ها\Graphic\1086.png,10.0,3.0,2.0,3.0,2.0,True,True,True
1088,,,,1088.png,راهنماي شماره تقاطع ها\Graphic\1088.png,8.0,3.0,2.0,2.0,1.0,True,True,False
1090,چهار راه توحيد نظر,1090,لیست+scats+ها.xlsx,1090.png,راهنماي شماره تقاطع ها\Graphic\1090.png,10.0,3.0,2.0,3.0,2.0,True,True,True
1092,پل وحيد,1091,لیست+scats+ها.xlsx,1092.png,راهنماي شماره تقاطع ها\Graphic\1092.png,14.0,4.0,3.0,3.0,4.0,True,True,True
1093,جنوب فلزي,1093,لیست+scats+ها.xlsx,1093.png,راهنماي شماره تقاطع ها\Graphic\1093.png,11.0,3.0,3.0,3.0,2.0,True,True,True
1094,جنوب آذر,1094,لیست+scats+ها.xlsx,1094.png,راهنماي شماره تقاطع ها\Graphic\1094.png,13.0,3.0,3.0,3.0,4.0,True,True,True
1095,وحيد باغ درياچه,1096,لیست+scats+ها.xlsx,1095.png,راهنماي شماره تقاطع ها\Graphic\1095.png,8.0,3.0,2.0,2.0,1.0,True,True,True
1096,,,,,,,,,,,True,False,False
1109,شيخ مفيد شيخ صدوق,1109,لیست+scats+ها.xlsx,1109.png,راهنماي شماره تقاطع ها\Graphic\1109.png,10.0,4.0,0.0,3.0,3.0,True,True,True
1112,هزار جریب آزادی,1106,لیست+scats+ها.xlsx,1112.png,راهنماي شماره تقاطع ها\Graphic\1112.png,8.0,3.0,0.0,3.0,2.0,True,True,True
1113,دفاع مقدس,1080,لیست+scats+ها.xlsx,1113.png,راهنماي شماره تقاطع ها\Graphic\1113.png,10.0,3.0,3.0,2.0,2.0,True,True,True
1115,,,,1115.png,راهنماي شماره تقاطع ها\Graphic\1115.png,9.0,3.0,0.0,3.0,3.0,True,True,False
1116,جنوب پل فردوسي,1116,لیست+scats+ها.xlsx,1116.png,راهنماي شماره تقاطع ها\Graphic\1116.png,12.0,3.0,3.0,3.0,3.0,True,True,True
1117,هتل پل,1117,لیست+scats+ها.xlsx,1117.png,راهنماي شماره تقاطع ها\Graphic\1117.png,6.0,2.0,2.0,0.0,2.0,True,True,True
1119,,,,1119.png,راهنماي شماره تقاطع ها\Graphic\1119.png,8.0,2.0,3.0,3.0,0.0,True,True,False
1501,جي – اريسون,1467,لیست+scats+ها.xlsx,1501.png,راهنماي شماره تقاطع ها\Graphic\1501.png,12.0,2.0,4.0,3.0,3.0,True,True,True
1502,,,,1502.png,راهنماي شماره تقاطع ها\Graphic\1502.png,8.0,2.0,3.0,0.0,3.0,True,True,False
1503,جي – شهيد رجائي,1466,لیست+scats+ها.xlsx,1503.png,راهنماي شماره تقاطع ها\Graphic\1503.png,11.0,3.0,4.0,0.0,4.0,True,True,True
1504,جي – مسجد علي,1468,لیست+scats+ها.xlsx,1504.png,راهنماي شماره تقاطع ها\Graphic\1504.png,13.0,2.0,4.0,3.0,4.0,True,True,True
