intersection_id,name_fa,gis_id,registry_source,diagram_file,diagram_relative_path,detector_boxes,south_boxes,west_boxes,north_boxes,east_boxes,has_raw_data,has_diagram,has_registry_name,latitude,longitude,geocode_method,geocode_confidence,geocode_query,match_distance_m,osm_type,osm_id,display_name
1031,شيخ صدوق سعادت آباد,1111.0,لیست+scats+ها.xlsx,1031.png,راهنماي شماره تقاطع ها\Graphic\1031.png,12.0,3.0,3.0,3.0,3.0,True,True,True,32.6221004,51.6714924,direct_name,medium,"شیخ صدوق سعادت آباد, اصفهان, ایران",0.0,node,8490655299,"شیخ صدوق, سعادت آباد (آزادگان), هزارجریب, منطقه ۶, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81648-13747, ایران"
1032,چهارراه فرايبورگ,1114.0,لیست+scats+ها.xlsx,1032.png,راهنماي شماره تقاطع ها\Graphic\1032.png,11.0,4.0,3.0,1.0,3.0,True,True,True,32.6219856,51.6749819,direct_name,medium,"چهارراه فرایبورگ, اصفهان, ایران",0.0,node,8942548501,"چهارراه فرایبورگ, مسجد مصلی, منطقه ۶, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81649-15571, ایران"
1033,سجاد سپه سالار,1105.0,لیست+scats+ها.xlsx,1033.png,راهنماي شماره تقاطع ها\Graphic\1033.png,10.0,3.0,2.0,3.0,2.0,True,True,True,,,unmatched,none,سجاد سپه سالار,,,,
1034,چهارراه آپادانا,1110.0,لیست+scats+ها.xlsx,1034.png,راهنماي شماره تقاطع ها\Graphic\1034.png,11.0,4.0,2.0,3.0,2.0,True,True,True,32.6328539,51.6937228,direct_name,medium,"چهارراه آپادانا, اصفهان, ایران",0.0,node,6989328128,"چهارراه آپادانا, آبشار, منطقه ۶, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81656-66941, ایران"
1035,چهارراه آبشار,1115.0,لیست+scats+ها.xlsx,1035.png,راهنماي شماره تقاطع ها\Graphic\1035.png,11.0,3.0,2.0,3.0,3.0,True,True,True,32.6362026,51.6934821,direct_name,medium,"چهارراه آبشار, اصفهان, ایران",0.0,node,6989324891,"چهارراه آبشار, گبرآباد, منطقه ۶, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81656-66941, ایران"
1036,ميدان بزرگمهر,1067.0,لیست+scats+ها.xlsx,1036.png,راهنماي شماره تقاطع ها\Graphic\1036.png,12.0,3.0,3.0,3.0,3.0,True,True,True,32.6406172,51.6946526,direct_name,medium,"میدان بزرگمهر, اصفهان, ایران",0.0,way,528677104,"میدان بزرگمهر, منطقه ۳, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, ایران"
1037,,,,1037.png,راهنماي شماره تقاطع ها\Graphic\1037.png,12.0,3.0,3.0,3.0,3.0,True,True,False,,,,,,,,,
1038,,,,1038.png,راهنماي شماره تقاطع ها\Graphic\1038.png,14.0,3.0,4.0,3.0,4.0,True,True,False,,,,,,,,,
1039,جي پروين,1188.0,لیست+scats+ها.xlsx,1039.png,راهنماي شماره تقاطع ها\Graphic\1039.png,13.0,4.0,3.0,3.0,3.0,True,True,True,,,unmatched,none,جی پروین,,,,
1040,,,,1040.png,راهنماي شماره تقاطع ها\Graphic\1040.png,11.0,3.0,3.0,3.0,2.0,True,True,False,,,,,,,,,
1041,پروين دشتستان,1203.0,لیست+scats+ها.xlsx,1041.png,راهنماي شماره تقاطع ها\Graphic\1041.png,10.0,3.0,2.0,3.0,2.0,True,True,True,32.6710832,51.7045652,direct_name,medium,"پروین دشتستان, اصفهان, ایران",0.0,way,312661162,"پروین, عسگریه, منطقه ۱۰, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81568-54691, ایران"
1042,كمال ابن سينا,1048.0,لیست+scats+ها.xlsx,1042.png,راهنماي شماره تقاطع ها\Graphic\1042.png,8.0,2.0,2.0,2.0,2.0,True,True,True,,,unmatched,none,کمال ابن سینا,,,,
1043,,,,1043.png,راهنماي شماره تقاطع ها\Graphic\1043.png,14.0,1.0,3.0,2.0,8.0,True,True,False,,,,,,,,,
1044,ميدان قدس,1140.0,لیست+scats+ها.xlsx,1044.png,راهنماي شماره تقاطع ها\Graphic\1044.png,12.0,3.0,2.0,4.0,3.0,True,True,True,32.6673752,51.720348,direct_name,medium,"میدان قدس, اصفهان, ایران",0.0,way,183190985,"میدان قدس, خواجه عمید, منطقه ۱۰, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81998-74941, ایران"
1045,,,,,,,,,,,True,False,False,,,,,,,,,
1047,شمال فردوسي,1047.0,لیست+scats+ها.xlsx,1047.png,راهنماي شماره تقاطع ها\Graphic\1047.png,8.0,2.0,2.0,2.0,2.0,True,True,True,,,unmatched,none,شمال فردوسی,,,,
1048,باغ گلدسته كمال اسماعيل,1458.0,لیست+scats+ها.xlsx,1048.png,راهنماي شماره تقاطع ها\Graphic\1048.png,6.0,0.0,2.0,2.0,2.0,True,True,True,,,unmatched,none,باغ گلدسته کمال اسماعیل,,,,
1051,چهار راه نقاشي,1055.0,لیست+scats+ها.xlsx,1051.png,راهنماي شماره تقاطع ها\Graphic\1051.png,5.0,2.0,0.0,2.0,1.0,True,True,True,,,unmatched,none,چهار راه نقاشی,,,,
1053,هشت بهشت نشاط,1053.0,لیست+scats+ها.xlsx,1053.png,راهنماي شماره تقاطع ها\Graphic\1053.png,9.0,2.0,2.0,2.0,3.0,True,True,True,,,unmatched,none,هشت بهشت نشاط,,,,
1054,هشت بهشت گلزار,1051.0,لیست+scats+ها.xlsx,1054.png,راهنماي شماره تقاطع ها\Graphic\1054.png,8.0,1.0,3.0,2.0,2.0,True,True,True,32.6518816,51.6984282,direct_name,medium,"هشت بهشت گلزار, اصفهان, ایران",0.0,node,8493272920,"هشت بهشت, تونل شهید آقاخانی, ملک, منطقه ۳, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81548-73535, ایران"
1057,صغير وليعصر,1050.0,لیست+scats+ها.xlsx,1057.png,راهنماي شماره تقاطع ها\Graphic\1057.png,10.0,2.0,3.0,2.0,3.0,True,True,True,,,unmatched,none,صغیر ولیعصر,,,,
1058,پل سرهنگ,1192.0,لیست+scats+ها.xlsx,,,,,,,,True,False,True,32.6815152,51.7133641,direct_name,medium,"پل سرهنگ, اصفهان, ایران",0.0,node,5189050689,"پل سرهنگ, پروین, منطقه ۱۰, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81998-74941, ایران"
1059,پل تمدن,,لیست+scats+ها.xlsx,1059.png,راهنماي شماره تقاطع ها\Graphic\1059.png,10.0,0.0,5.0,0.0,5.0,True,True,True,32.6897322,51.7367544,direct_name,medium,"پل تمدن, اصفهان, ایران",0.0,node,7083528522,"پل تمدن, گرکان, منطقه ۱۰, لفتون, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81981-61872, ایران"
1064,صياد شيرازي علامه اميني,1064.0,لیست+scats+ها.xlsx,1064.png,راهنماي شماره تقاطع ها\Graphic\1064.png,8.0,2.0,2.0,2.0,2.0,True,True,True,,,unmatched,none,صیاد شیرازی علامه امینی,,,,
1065,,,,1065.png,راهنماي شماره تقاطع ها\Graphic\1065.png,11.0,2.0,4.0,2.0,3.0,True,True,False,,,,,,,,,
1066,حمزه هشت بهشت,,لیست+scats+ها.xlsx,1066.png,راهنماي شماره تقاطع ها\Graphic\1066.png,12.0,2.0,4.0,2.0,4.0,True,True,True,32.6511569,51.7056877,direct_name,medium,"حمزه هشت بهشت, اصفهان, ایران",0.0,node,10285813752,"حمزه اصفهانی, هشت بهشت شرقی, شاهزید, منطقه ۴, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81587-14181, ایران"
1067,,,,1067.png,راهنماي شماره تقاطع ها\Graphic\1067.png,10.0,2.0,4.0,1.0,3.0,True,True,False,,,,,,,,,
1068,جي صيادشيرازي,1213.0,لیست+scats+ها.xlsx,1068.png,راهنماي شماره تقاطع ها\Graphic\1068.png,8.0,0.0,3.0,2.0,3.0,True,True,True,,,unmatched,none,جی صیادشیرازی,,,,
1069,ميدان احمد آباد,1215.0,لیست+scats+ها.xlsx,1069.png,راهنماي شماره تقاطع ها\Graphic\1069.png,12.0,3.0,3.0,3.0,3.0,True,True,True,32.6612496,51.7015096,direct_name,medium,"میدان احمد آباد, اصفهان, ایران",0.0,node,8490681934,"میدان احمد آباد, بزرگمهر, چشمه باقرخان, منطقه ۴, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81566-35141, ایران"
1070,,,,1070.png,راهنماي شماره تقاطع ها\Graphic\1070.png,10.0,3.0,2.0,3.0,2.0,True,True,False,,,,,,,,,
1071,میدان 25 آبان,1287.0,لیست+scats+ها.xlsx,1071.png,راهنماي شماره تقاطع ها\Graphic\1071.png,16.0,4.0,4.0,4.0,4.0,True,True,True,32.6791357,51.672144,direct_name,medium,"میدان 25 آبان, اصفهان, ایران",0.0,node,8493272937,"میدان ۲۵ آبان, پل ۲۵ آبان, تیران, منطقه ۸, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81387-98466, ایران"
1072,,,,1072.png,راهنماي شماره تقاطع ها\Graphic\1072.png,14.0,5.0,3.0,4.0,2.0,True,True,False,,,,,,,,,
1074,,,,1074.png,راهنماي شماره تقاطع ها\Graphic\1074.png,8.0,0.0,3.0,3.0,2.0,True,True,False,,,,,,,,,
1075,حكيم عبدالرزاق,1045.0,لیست+scats+ها.xlsx,1075.png,راهنماي شماره تقاطع ها\Graphic\1075.png,10.0,2.0,2.0,0.0,6.0,True,True,True,,,unmatched,none,حکیم عبدالرزاق,,,,
1077,5 رمضان مسجد سيد,1018.0,لیست+scats+ها.xlsx,1077.png,راهنماي شماره تقاطع ها\Graphic\1077.png,8.0,2.0,2.0,2.0,2.0,True,True,True,,,unmatched,none,5 رمضان مسجد سید,,,,
1078,چهارراه وفايي,1017.0,لیست+scats+ها.xlsx,1078.png,راهنماي شماره تقاطع ها\Graphic\1078.png,7.0,3.0,2.0,0.0,2.0,True,True,True,32.6661083,51.6513486,direct_name,medium,"چهارراه وفایی, اصفهان, ایران",0.0,node,6989059079,"چهارراه وفایی (هفتم محرم), مسجد سید, خرم, منطقه ۱, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81369-94149, ایران"
1079,طيب - مسجد سيد,1022.0,لیست+scats+ها.xlsx,1079.png,راهنماي شماره تقاطع ها\Graphic\1079.png,7.0,2.0,2.0,0.0,3.0,True,True,True,32.6655226,51.6661591,direct_name,medium,"طیب - مسجد سید, اصفهان, ایران",0.0,node,8493599917,"طیب, مسجد سید, بیدآباد, منطقه ۱, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81378-53466, ایران"
1080,توحيد دانشگاه,1089.0,لیست+scats+ها.xlsx,1080.png,راهنماي شماره تقاطع ها\Graphic\1080.png,11.0,0.0,4.0,3.0,4.0,True,True,True,32.6224107,51.6582421,direct_name,medium,"توحید دانشگاه, اصفهان, ایران",0.0,node,8490655285,"توحید, دانشگاه, منطقه ۵, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81739-65711, ایران"
1081,سه راه حكيم نظامي (شهداي غزه),1078.0,لیست+scats+ها.xlsx,1081.png,راهنماي شماره تقاطع ها\Graphic\1081.png,12.0,3.0,3.0,3.0,3.0,True,True,True,32.6226759,51.65210045,street_pair,high,"حکیم نظامی, اصفهان, ایران | شهدای غزه, اصفهان, ایران",4.815842026620121,pair,8940986260|378261609,"حکیم نظامی, شهدای صفه, بهار آزادی, منطقه ۵, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81759-71961, ایران | شهدای غزه, بهار آزادی, منطقه ۵, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81759-71961, ایران"
1082,توحيد شريعتي,1082.0,لیست+scats+ها.xlsx,1082.png,راهنماي شماره تقاطع ها\Graphic\1082.png,10.0,3.0,2.0,3.0,2.0,True,True,True,,,unmatched,none,توحید شریعتی,,,,
1083,چهارراه امين (حكيم نظامي-شريعتي),1083.0,لیست+scats+ها.xlsx,1083.png,راهنماي شماره تقاطع ها\Graphic\1083.png,10.0,3.0,2.0,3.0,2.0,True,True,True,32.690746649999994,51.6854288,street_pair,medium,"امین, اصفهان, ایران | شریعتی, اصفهان, ایران",358.2152391452255,pair,477153974|312313856,"امین, شاهد, منطقه ۷, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81936-44611, ایران | شریعتی, مولوی, منطقه ۷, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81936-44611, ایران"
1084,ميدان ارتش,1084.0,لیست+scats+ها.xlsx,1084.png,راهنماي شماره تقاطع ها\Graphic\1084.png,14.0,2.0,4.0,3.0,5.0,True,True,True,32.6239165,51.6367359,direct_name,medium,"میدان ارتش, اصفهان, ایران",0.0,node,9905363913,"میدان ارتش, وحید, حسین آباد, منطقه ۵, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81745-59943, ایران"
1085,سه راه سيمين,1095.0,لیست+scats+ها.xlsx,1085.png,راهنماي شماره تقاطع ها\Graphic\1085.png,13.0,3.0,4.0,2.0,4.0,True,True,True,32.623709,51.6260091,direct_name,medium,"سه راه سیمین, اصفهان, ایران",0.0,node,6989102778,"سه راه سیمین, باغ زیار, دستگرد خیار, منطقه ۱۳, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81769-13177, ایران"
1086,وحيد رودكي,1087.0,لیست+scats+ها.xlsx,1086.png,راهنماي شماره تقاطع ها\Graphic\1086.png,10.0,3.0,2.0,3.0,2.0,True,True,True,,,unmatched,none,وحید رودکی,,,,
1088,,,,1088.png,راهنماي شماره تقاطع ها\Graphic\1088.png,8.0,3.0,2.0,2.0,1.0,True,True,False,,,,,,,,,
1090,چهار راه توحيد نظر,1090.0,لیست+scats+ها.xlsx,1090.png,راهنماي شماره تقاطع ها\Graphic\1090.png,10.0,3.0,2.0,3.0,2.0,True,True,True,,,unmatched,none,چهار راه توحید نظر,,,,
1092,پل وحيد,1091.0,لیست+scats+ها.xlsx,1092.png,راهنماي شماره تقاطع ها\Graphic\1092.png,14.0,4.0,3.0,3.0,4.0,True,True,True,32.6402841,51.6401994,direct_name,medium,"پل وحید, اصفهان, ایران",0.0,way,863370413,"پل وحید, بزرگراه شهید خرازی, صائب, منطقه ۱, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81848-16611, ایران"
1093,جنوب فلزي,1093.0,لیست+scats+ها.xlsx,1093.png,راهنماي شماره تقاطع ها\Graphic\1093.png,11.0,3.0,3.0,3.0,2.0,True,True,True,,,unmatched,none,جنوب فلزی,,,,
1094,جنوب آذر,1094.0,لیست+scats+ها.xlsx,1094.png,راهنماي شماره تقاطع ها\Graphic\1094.png,13.0,3.0,3.0,3.0,4.0,True,True,True,,,unmatched,none,جنوب آذر,,,,
1095,وحيد باغ درياچه,1096.0,لیست+scats+ها.xlsx,1095.png,راهنماي شماره تقاطع ها\Graphic\1095.png,8.0,3.0,2.0,2.0,1.0,True,True,True,32.6335808,51.6390257,direct_name,medium,"وحید باغ دریاچه, اصفهان, ایران",0.0,way,183090835,"وحید, باغ دریاچه, منطقه ۵, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81758-15193, ایران"
1096,,,,,,,,,,,True,False,False,,,,,,,,,
1109,شيخ مفيد شيخ صدوق,1109.0,لیست+scats+ها.xlsx,1109.png,راهنماي شماره تقاطع ها\Graphic\1109.png,10.0,4.0,0.0,3.0,3.0,True,True,True,,,unmatched,none,شیخ مفید شیخ صدوق,,,,
1112,هزار جریب آزادی,1106.0,لیست+scats+ها.xlsx,1112.png,راهنماي شماره تقاطع ها\Graphic\1112.png,8.0,3.0,0.0,3.0,2.0,True,True,True,32.6242325,51.6642796,direct_name,medium,"هزار جریب آزادی, اصفهان, ایران",0.0,way,198075676,"هزار جریب, بهار آزادی, منطقه ۵, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81739-65711, ایران"
1113,دفاع مقدس,1080.0,لیست+scats+ها.xlsx,1113.png,راهنماي شماره تقاطع ها\Graphic\1113.png,10.0,3.0,3.0,2.0,2.0,True,True,True,32.5881295,51.6696844,direct_name,medium,"دفاع مقدس, اصفهان, ایران",0.0,node,7712005418,"دفاع مقدس (صفه), بزرگراه شهید وحید دستجردی, کوی امام, منطقه ۶, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81739-85461, ایران"
1115,,,,1115.png,راهنماي شماره تقاطع ها\Graphic\1115.png,9.0,3.0,0.0,3.0,3.0,True,True,False,,,,,,,,,
1116,جنوب پل فردوسي,1116.0,لیست+scats+ها.xlsx,1116.png,راهنماي شماره تقاطع ها\Graphic\1116.png,12.0,3.0,3.0,3.0,3.0,True,True,True,,,unmatched,none,جنوب پل فردوسی,,,,
1117,هتل پل,1117.0,لیست+scats+ها.xlsx,1117.png,راهنماي شماره تقاطع ها\Graphic\1117.png,6.0,2.0,2.0,0.0,2.0,True,True,True,32.6422261,51.6680444,direct_name,medium,"هتل پل, اصفهان, ایران",0.0,way,198063741,"هتل پل, شفق, باغ نگار - آیینه خانه, منطقه ۶, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81736-95814, ایران"
1119,,,,1119.png,راهنماي شماره تقاطع ها\Graphic\1119.png,8.0,2.0,3.0,3.0,0.0,True,True,False,,,,,,,,,
1501,جي – اريسون,1467.0,لیست+scats+ها.xlsx,1501.png,راهنماي شماره تقاطع ها\Graphic\1501.png,12.0,2.0,4.0,3.0,3.0,True,True,True,,,unmatched,none,جی – اریسون,,,,
1502,,,,1502.png,راهنماي شماره تقاطع ها\Graphic\1502.png,8.0,2.0,3.0,0.0,3.0,True,True,False,,,,,,,,,
1503,جي – شهيد رجائي,1466.0,لیست+scats+ها.xlsx,1503.png,راهنماي شماره تقاطع ها\Graphic\1503.png,11.0,3.0,4.0,0.0,4.0,True,True,True,32.6570388,51.7396176,direct_name,medium,"جی – شهید رجائی, اصفهان, ایران",0.0,way,183173532,"جی غربی, شهید رجایی, منطقه ۱۵, اصفهان, بخش مرکزی شهرستان اصفهان, شهرستان اصفهان, استان اصفهان, 81561-66499, ایران"
1504,جي – مسجد علي,1468.0,لیست+scats+ها.xlsx,1504.png,راهنماي شماره تقاطع ها\Graphic\1504.png,13.0,2.0,4.0,3.0,4.0,True,True,True,,,unmatched,none,جی – مسجد علی,,,,
